  1 /*************************************************************************************************************************
  1 CoreNet Database Copyright 2010 by SWRC, KAIST
  2 Description : 중-일-한 개념, cjkConcept.dat
  3 CoreNet database is providing in the following tab delimited text format.
  4 idx kortermnum parentkortermnum nttnum chinttname japnttname kornttname gernttname
  5  idx : 각 데이터의 고유 순번
  6  kortermnum : KORTERM 개념번호
  7  parentkortermnum : 상위 개념에 해당하는 KORTERM 개념번호
  8  nttnum : NTT 사전에 등록된 개념일련번호 (출판물)
  9  chinttname : NTT 사전에 등록된 개념명 (중국어)
  10  japnttname : NTT 사전에 등록된 개념명 (일본어)
  11  kornttname : NTT 사전에 등록된 개념명 (한국어)
  12  gernttname : NTT 사전에 등록된 개념명 (독일어)
  20 *************************************************************************************************************************/
1	111131141	11113114	241	文人	作家・詩人	문인	Schriftsteller
2	111131142	11113114	242	画家/书法家	画家・書家	화가/서도가	Maler / Kalligraph
3	111131143	11113114	243	音乐家	音楽家	음악가	Musiker
4	111131144	11113114	244	艺术家(其他)	芸術家（その他）	기타 예술가	Künstler
5	11113115	1111311	245	言论人	ジャーナリスト	언론인	Journalist
6	11113116	1111311	246	明星/运动员	タレント・競技者	탤런트/경기자	Schauspieler / Spieler
7	111131161	11113116	247	乐师	楽士	악사	Musiker
8	111131162	11113116	248	歌手	歌手	가수	Sänger
9	111131163	11113116	249	演员	役者	배우	Schauspieler
10	111131164	11113116	250	艺能人(有才干的人)	芸人	예능인	Entertainer
11	111131165	11113116	251	运动员	競技者	경기자	Spieler
12	111131166	11113116	252	明星ㆍ运动员(其他）	タレント・競技者（その他）	기타 탤런트/경기자	andere Schauspieler / Spieler,Sportler
13	11113117	1111311	253	宗教家	宗教者	종교가	Religiöser
14	111131171	11113117	254	和尚	僧侶	승려	Mönch
15	111131172	11113117	255	神职人员	神官	무속인	Schamane
16	111131173	11113117	256	牧师	牧師	목사	Priester, Pfarrer
17	111131174	11113117	257	行者	行者	행자	religiöser Wanderer
18	111131175	11113117	258	巫俗人	占い師	점쟁이	Wahrsager
19	1111312	111131	259	人(支配的 管理的 职业)	人（支配的管理的職業）	사람(지배관리직)	Leiter
20	11113121	1111312	260	政治家	政治家	정치가	Politiker
21	11113122	1111312	261	官吏<人(支配的 管理的 职业)>	役人	관료	Beamte
22	111131221	11113122	262	行政官员	行政官	행정관	Verwaltungsbeamte
23	111131222	11113122	263	法官	司法官	사법관	Justizbeamte
24	1111312221	111131222	264	审判官	裁判官	재판관	Richter
25	1111312222	111131222	265	检察官	検察官	검찰관	Staatsanwalt
26	111131223	11113122	266	外交官	外交官	외교관	Diplomat
27	111131224	11113122	267	官吏(其他)	役人（その他）	기타 관료	Beamte
28	11113123	1111312	268	企业家	事業家	사업가	Unternehmer
29	11113124	1111312	269	人(管理职责)	人（管理職）	사람(관리직)	Leiter
30	11113125	1111312	270	人(支配的 管理的 职业(其他))	人（支配的管理的職業（その他））	사람(기타 지배관리직)	andere Leiter, Verwalter
31	1111313	111131	271	人(行政职责)	人（事務職）	사람(사무직)	Büroangestellte
32	1111314	111131	272	人(销售职责)	人（販売職）	사람(판매직)	Kaufmann
33	11113141	1111314	273	商人	商人	상인	Kaufmann
34	11113142	1111314	274	店员	店員	점원	Verkäufer
35	1111315	111131	275	人(农林渔业)	人（農林漁業）	사람(농림어업)	Landmann / Fischer
36	11113151	1111315	276	农民	農民	농민	Bauer
37	11113152	1111315	277	渔民	漁民	어민	Fischer
38	11113153	1111315	278	猎人	猟師	사냥꾼	Jäger
39	11113154	1111315	279	樵夫	きこり	나뭇꾼	Holzfäller
40	11113155	1111315	280	饲养员	飼育者	사육자	Züchter
41	1111316	111131	281	劳动者	作業員	근로자	Arbeiter, Arbeitnehmer
42	11113161	1111316	282	工厂 劳动者	作業員（工場）	공장근로자	Arbeiter
43	11113162	1111316	283	矿 劳动者/工程现场 劳动者	作業員（工事現場・鉱山）	광산/공사현장 근로자	Bergleute
44	11113163	1111316	284	劳动者(其他)	作業員（その他）	기타 근로자	Arbeiter
45	1111317	111131	285	人(技术职责)	人（技能職）	사람(기능직)	Ingenieur / Techniker
46	11113171	1111317	286	工匠	職人	기능인	Schreiner
47	11113172	1111317	287	理发师/美容师	理髪師・美容師等	이미용사/etc	Friseur
48	1111318	111131	288	人(运送通信业)	人（運輸通信業）	사람(운수통신업)	Spediteur, Transporteur
49	11113181	1111318	289	人(运送业)	人（運輸業）	사람(운수업)	Spediteur
50	111131811	11113181	290	运送人	運送人	운송인	Zusteller
51	111131812	11113181	291	乘务员	乗務員	승무원	Besatzung
52	1111318121	111131812	292	司机	運転手	운전사	Fahrer
53	1111318122	111131812	293	乘务员(其他)	乗務員（その他）	기타 승무원	Besatzung
54	111131813	11113181	294	人(运送业(其他))	人（運輸業（その他））	사람(기타 운수업)	andere Spediteur, Transporteur
