  1 /*************************************************************************************************************************
  2  CoreNet Database Copyright 2010 by SWRC, KAIST
  3  Description : 중국어 단어, chiWord.dat
  4  The data is provided in the following tab delimited text format.
  6  idx num grade korwordnum korwordmeannum matchnttnum kortermnum nttnum nttname pos chinese chipronoun japanese korean
  7  idx : 각 데이터의 고유 순번
  8  num : 동음(同音)으로 묶은 그룹에 대한 순번
  9  grade : 중국어 단어(chinese 필드)의 난이도 정도. (낮을수록 보편적임)
  10  korwordnum : 한국어 표제어 번호
  11  korwordmeannum : 한국어 개념명 번호
  12  kortermnum : KORTERM 개념번호
  13  nttnum : NTT 사전에 등록된 개념일련번호 (출판물)
  14  nttname : NTT 사전에 등록된 개념명
  15  pos : 형태소 태그 (KAIST 품사체계)
  16  chinese : 중국어
  17  chipronoun : 중국어 발음
  18  japanese : 일본어
  19  korean : 한국어
  20 *************************************************************************************************************************/
1	6948	2	2	0	1	1	1	구체/추상	명사	方位词	fāngwèicí		(명사)
2	18337	1	2	0	1	1	1	구체/추상	명사	名词	míngcí		명사
3	23336	3	2	0	1	1	1	구체/추상	명사	时间词	shíjiāncí		(명사)
4	7934	3	4	1	2	11	2	구체	명사	附着物	fùzhuówù		(물)
5	22817	3	1	1	2	11	2	구체	명사	神人	shénrén		신인
6	26260	4	4	1	2	11	2	구체	명사	投射物	tóushèwù		(물)
7	26947	1	2	2	2	11	2	구체	명사	万物	wànwù	萬物	만물
8	26947	1	2	1	2	11	2	구체	명사	万物	wànwù	萬物	만물
9						111	3	주체					
10						1111	4	사람					
11	708	5	0	0	5	11111	5	인간	명사	帮	bāng		패거리
12	797	3	0	1	5	11111	5	인간	명사	剥削者	bōxuēzhě		(사람)
13	1074	4	0	0	5	11111	5	인간	명사	辈	bèi		패거리
14	1164	3	0	1	5	11111	5	인간	명사	本分人	běnfènrén		(사람)
15	1449	2	0	1	5	11111	5	인간	명사	编译	biānyì		(사람)
16	2264	2	0	3	5	11111	5	인간	명사	参与者	cānyùzhě		(사람)
17	2302	3	0	1	5	11111	5	인간	명사	残疾人	cánjírén		(사람)
18	2353	3	0	1	5	11111	5	인간	명사	藏民	zàngmín		(사람)
19	2849	3	0	0	5	11111	5	인간	명사	厂家	chǎngjiā		제작자
20	3007	3	0	0	5	11111	5	인간	명사	臣僚	chénliáo		벼슬아치
21	3416	2	0	3	5	11111	5	인간	명사	出版者	chūbǎnzhě		(사람)
22	3911	4	0	1	5	11111	5	인간	명사	刺儿头	cìrtóu		(사람)
23	3939	2	0	1	5	11111	5	인간	명사	聪明人	cōngmingrén		(사람)
24	4097	3	0	1	5	11111	5	인간	명사	打工妹	dǎgōngmèi		(사람)
25	4331	2	0	1	5	11111	5	인간	명사	大舌头	dàshétou		(사람)
26	4491	1	0	0	5	11111	5	인간	명사	代表团	dàibiǎotuán		대표단
27	4751	3	0	1	5	11111	5	인간	명사	当地人	dāngdìrén		(사람)
28	4840	3	0	1	5	11111	5	인간	명사	刀笔	dāobǐ		(사람)
29	5158	3	0	1	5	11111	5	인간	명사	敌我	díwǒ		(사람)
30	5163	3	0	1	5	11111	5	인간	명사	敌友	díyǒu		(사람)
31	5705	3	0	1	5	11111	5	인간	명사	奠基人	diànjīrén		(사람)
32	5922	2	0	1	5	11111	5	인간	명사	东佃	dōngdiàn		(사람)
33	7165	1	0	2	5	11111	5	인간	명사	肥猪	féizhū		뚱보
34	8488	2	1	1	5	11111	5	인간	명사	个体	gètǐ		인간
35	8898	2	0	1	5	11111	5	인간	명사	狗屎堆	gǒushǐduī		(사람)
36	8927	3	0	1	5	11111	5	인간	명사	孤残	gūcán		(사람)
37	9249	2	0	0	5	11111	5	인간	명사	官	guān		벼슬아치
38	9261	3	0	0	5	11111	5	인간	명사	官宦	guānhuàn		벼슬아치
39	9270	3	0	1	5	11111	5	인간	명사	官迷	guānmí		(사람)
40	9565	3	0	1	5	11111	5	인간	명사	鬼灵精	guǐlíngjīng		(사람)
41	10259	2	0	1	5	11111	5	인간	명사	好样儿的	hǎoyàngrde		(사람)
42	10421	3	0	1	5	11111	5	인간	명사	合作者	hézuòzhě		(사람)
43	10915	3	2	1	5	11111	5	인간	명사	后生	hòushēng		후생
44	13778	1	0	0	5	11111	5	인간	명사	今人	jīnrén		현대인
45	13882	1	0	0	5	11111	5	인간	명사	近人	jìnrén		현대인
46	14065	2	0	0	5	11111	5	인간	명사	警卫员	jǐngwèiyuán		경비원
47	14382	3	1	1	5	11111	5	인간	명사	巨人	jùrén		거인
48	14471	3	0	1	5	11111	5	인간	명사	决策人	juécèrén		(사람)
49	14472	3	0	1	5	11111	5	인간	명사	决策者	juécèzhě		(사람)
50	14901	2	0	1	5	11111	5	인간	명사	可怜虫	kěliánchóng		(사람)
51	14968	5	0	1	5	11111	5	인간	명사	客星	kèxīng		(사람)
52	15292	3	0	1	5	11111	5	인간	명사	快手	kuàishǒu		(사람)
53	16453	3	2	1	5	11111	5	인간	명사	两口儿	liǎngkǒur		(식구)
54	16488	4	0	1	5	11111	5	인간	명사	亮眼人	liàngyǎnrén		(사람)
55	16590	3	0	1	5	11111	5	인간	명사	林农	línnóng		(사람)
56	17496	3	0	1	5	11111	5	인간	명사	马倌	mǎguān		(사람)
57	18193	4	0	1	5	11111	5	인간	명사	描图员	miáotúyuán		(사람)
58	18315	3	0	1	5	11111	5	인간	명사	明眼人	míngyǎnrén		(사람)
59	18679	1	0	0	5	11111	5	인간	명사	目击者	mùjīzhě		목격자
60	19541	3	0	1	5	11111	5	인간	명사	牌迷	páimí		(사람)
61	19604	1	0	2	5	11111	5	인간	명사	胖子	pàngzi		뚱보
62	20242	3	0	1	5	11111	5	인간	명사	棋友	qíyǒu		(사람)
63	20541	2	3	0	5	11111	5	인간	명사	前人	qiánrén		전인
64	20640	5	0	1	5	11111	5	인간	명사	墙头草	qiángtóucǎo		(사람)
65	20660	2	0	1	5	11111	5	인간	명사	强人	qiángrén		(사람)
66	21423	1	0	8	5	11111	5	인간	명사	人	rén	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
67	21423	1	0	1	5	11111	5	인간	명사	人	rén	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
68	21423	1	0	3	5	11111	5	인간	명사	人	rén	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
69	21423	1	13	2	5	11111	5	인간	명사	人	rén		인
70	21423	1	1	1	5	11111	5	인간	명사	人	rén		인간
71	21435	4	0	8	5	11111	5	인간	명사	人儿	rénr	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
72	21435	4	0	3	5	11111	5	인간	명사	人儿	rénr	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
73	21435	4	0	1	5	11111	5	인간	명사	人儿	rénr	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
74	21453	2	0	1	5	11111	5	인간	명사	人家	rénjia	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
75	21457	1	2	1	5	11111	5	인간	명사	人口	rénkǒu		식구
76	21459	1	1	1	5	11111	5	인간	명사	人类	rénlèi		인류
77	21459	1	1	2	5	11111	5	인간	명사	人类	rénlèi		인류
78	21502	1	0	1	5	11111	5	인간	명사	人头	réntóu	ピ－ブル,ヒト,ひとっこ,人っ子,者	사람
79	21502	1	1	1	5	11111	5	인간	명사	人头	réntóu		인간
80	21502	1	1	2	5	11111	5	인간	명사	人头	réntóu		인물
81	21510	1	1	2	5	11111	5	인간	명사	人物	rénwù		인물
82	22508	3	0	1	5	11111	5	인간	명사	上家	shàngjiā		(사람)
83	22921	1	0	0	5	11111	5	인간	명사	生产者	shēngchǎnzhě		생산자
84	23077	1	0	0	5	11111	5	인간	명사	胜利者	shènglìzhě		승리자
85	23077	2	0	0	5	11111	5	인간	명사	胜利者	shènglìzhě		승리자
86	23079	3	0	1	5	11111	5	인간	명사	胜诉人	shèngsùrén		(사람)
87	23416	4	0	1	5	11111	5	인간	명사	实干家	shígànjiā		(사람)
88	23898	3	0	0	5	11111	5	인간	명사	受试者	shòushìzhě		응시자
89	25079	3	0	1	5	11111	5	인간	명사	他乡人	tāxiāngrén		(사람)
90	26642	4	0	1	5	11111	5	인간	명사	驼员	tuóyuán		(사람)
91	26827	1	0	1	5	11111	5	인간	명사	外星人	wàixīngrén		(사람)
92	27377	5	0	1	5	11111	5	인간	명사	文侩	wénkuài		(사람)
93	28242	2	0	0	5	11111	5	인간	명사	先知	xiānzhī		선지자
94	28340	3	0	0	5	11111	5	인간	명사	显要	xiǎnyào		벼슬아치
95	28771	4	0	1	5	11111	5	인간	명사	小钢炮	xiǎogāngpào		(사람)
96	28791	2	0	1	5	11111	5	인간	명사	小户	xiǎohù		(사람)
97	29516	2	0	0	5	11111	5	인간	명사	幸存者	xìngcúnzhě		생존자
98	30166	2	2	0	5	11111	5	인간	명사	亚当	yàdāng		아담
99	30285	3	1	1	5	11111	5	인간	명사	研究员	yánjiūyuán		연구원
100	30287	2	1	1	5	11111	5	인간	명사	研究者	yánjiūzhě		{연구원}
101	30937	3	0	1	5	11111	5	인간	명사	夜游神	yèyóushén		(사람)
102	31407	2	0	1	5	11111	5	인간	명사	异乡人	yìxiāngrén		(사람)
103	31664	3	0	2	5	11111	5	인간	명사	印第安	yìndìān		인디언
104	31759	4	0	0	5	11111	5	인간	명사	营长	yíngzhǎng		대대장
105	32571	3	0	1	5	11111	5	인간	명사	预言家	yùyánjiā		예언자
106	32653	2	2	0	5	11111	5	인간	명사	原人	yuánrén		원인
107	34043	3	0	3	5	11111	5	인간	명사	直肠子	zhíchángzi		(사람)
108	34069	2	0	3	5	11111	5	인간	명사	直性子	zhíxìngzi		(사람)
109	34116	3	0	0	5	11111	5	인간	명사	指挥员	zhǐhuīyuán		지휘관
110	34706	4	0	1	5	11111	5	인간	명사	猪倌	zhūguān		(사람)
111	36073	4	0	0	5	11111	5	인간	명사	孑遗	jiéyí		생존자
112	50022	3	0	1	5	11111	5	인간	명사	刺头儿	cìtóur		(사람)
113						111111	6	인칭					
114						1111111	7	일인칭					
